barcode,array_id,rna_in_array,rna_in_labeling_reaction,tissue_sample_id,structure,rna_integrity_number,donor,download_link
252491510820_2_1,127696375,600,24.83,126439301,"Putamen, Left",,H0351.1012,/api/v2/well_known_file_download/127768173
252491510682_1_2,2018,600,21.49,5801,"CA2 field, Right",,H0351.2002,/api/v2/well_known_file_download/6096
252491510695_1_3,2195,600,21.49,5801,"CA2 field, Right",,H0351.2002,/api/v2/well_known_file_download/5942
252491510691_2_3,2140,600,21.49,5801,"CA2 field, Right",,H0351.2002,/api/v2/well_known_file_download/5891
252491510764_1_1,2463,600,23.19,8766,"cuneate nucleus, Left",,H0351.2002,/api/v2/well_known_file_download/6587
252491510445_2_1,1431,600,19.73,6201,"central grey substance of midbrain, Right",,H0351.2001,/api/v2/well_known_file_download/4848
252491510084_2_3,171,600,26.08,659,"inferior temporal gyrus, Left, bank of the its",,H0351.2001,/api/v2/well_known_file_download/967
252491510392_2_3,935,600,24.22,2785,"CA4 field, Right",,H0351.2001,/api/v2/well_known_file_download/3544
252491510470_1_4,1609,600,27.96,5034,"planum polare, Right",,H0351.2002,/api/v2/well_known_file_download/5063
252491510437_2_1,1339,600,27.96,5034,"planum polare, Right",,H0351.2002,/api/v2/well_known_file_download/4676
252491510082_2_2,154,600,28.73,323,"Cingulate gyrus, frontal part, Left, inferior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/943
252491510445_1_1,1449,600,23.83,6227,"locus ceruleus, Right",,H0351.2001,/api/v2/well_known_file_download/4867
252491510359_2_1,656,600,27.59,2467,"CA2 field, Left",,H0351.2001,/api/v2/well_known_file_download/3473
252491510337_2_1,88,600,27.17,756,"inferior temporal gyrus, Left, bank of mts",,H0351.2001,/api/v2/well_known_file_download/874
252491510798_2_4,4333,600,24.95,11278,"Head of Caudate Nucleus, Left",,H0351.1009,/api/v2/well_known_file_download/9444
252491511469_1_3,147738170,600,21.56,146021948,raphe nuclei of medulla,,H0351.1012,/api/v2/well_known_file_download/147739609
252491510379_1_1,1006,600,27.42,4333,"spinal trigeminal nucleus, Right",,H0351.2001,/api/v2/well_known_file_download/4286
252491510952_1_1,127695409,600,24.74,126432572,"Long Insular Gyri, Left",,H0351.1012,/api/v2/well_known_file_download/127757664
