barcode,array_id,rna_in_array,rna_in_labeling_reaction,tissue_sample_id,structure,rna_integrity_number,donor,download_link
252491510135_1_2,472,600,27.69,1002,"middle frontal gyrus, Left, inferior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/738
252491510787_1_3,146518596,600,30.05,127687524,"Diagonal Band, Horizontal Division, Left",,H0351.1012,/api/v2/well_known_file_download/146535095
252491510416_1_2,1094,600,25.65,4522,"frontal pole, Left, inferior aspect",,H0351.2002,/api/v2/well_known_file_download/4362
252491510642_1_4,1705,600,28.71,4913,"frontal pole, Left, inferior aspect",,H0351.2002,/api/v2/well_known_file_download/5194
252491510819_2_4,127696367,600,29.71,126435750,"IV, Left Paravermis",,H0351.1012,/api/v2/well_known_file_download/127768163
252491510458_2_1,1493,600,27.17,5093,"superior temporal gyrus, Left, inferior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/4760
252491510628_2_1,1704,600,25.44,4594,"middle frontal gyrus, Left, inferior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5190
252491510677_1_1,1996,600,25.44,4594,"middle frontal gyrus, Left, inferior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5828
252491510614_1_3,1635,600,26.3,4622,"middle temporal gyrus, Right, superior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5124
252491510655_1_4,1899,600,26.3,4622,"middle temporal gyrus, Right, superior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5513
252491510414_2_4,1053,600,26.82,4596,"posterior orbital gyrus, Right",,H0351.2002,/api/v2/well_known_file_download/4415
252491510413_2_3,1060,600,26.68,4517,"temporal pole, Right, inferior aspect",,H0351.2002,/api/v2/well_known_file_download/4395
252491510640_2_4,1760,600,28.35,4906,"Putamen, Left",,H0351.2002,/api/v2/well_known_file_download/5192
252491510675_2_1,2098,600,27.44,4525,"temporal pole, Right, medial aspect",,H0351.2002,/api/v2/well_known_file_download/5859
252491510645_2_4,1566,600,27.44,4525,"temporal pole, Right, medial aspect",,H0351.2002,/api/v2/well_known_file_download/5042
252491510634_1_3,1616,600,27.1,4801,"superior frontal gyrus, Left, lateral bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5120
252491510414_2_3,1082,600,23.33,4562,"superior frontal gyrus, Left, lateral bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/4420
252491510821_1_4,127696284,600,29.31,126435778,"V, Left Lateral Hemisphere",,H0351.1012,/api/v2/well_known_file_download/127768187
252491510613_2_4,1560,600,23.16,4549,"Head of Caudate Nucleus, Right",,H0351.2002,/api/v2/well_known_file_download/5029
252491510459_2_3,1503,600,29.02,5089,"Head of Caudate Nucleus, Right",,H0351.2002,/api/v2/well_known_file_download/4767
252491510700_2_1,2397,600,27.82,8416,IV,,H0351.2002,/api/v2/well_known_file_download/6293
252491510414_2_1,1051,600,26.88,4557,"Putamen, Right",,H0351.2002,/api/v2/well_known_file_download/4400
252491510855_2_2,4972,600,24.11,13706,"Medial Geniculate Complex, Left",,H0351.1009,/api/v2/well_known_file_download/10231
252491510414_1_2,1058,600,28.23,4597,"temporal pole, Left, superior aspect",,H0351.2002,/api/v2/well_known_file_download/4379
252491510828_1_2,4382,600,25.06,11052,"inferior frontal gyrus, orbital part, Left",,H0351.1009,/api/v2/well_known_file_download/9726
252491510828_1_1,4381,600,25.06,11052,"inferior frontal gyrus, orbital part, Left",,H0351.1009,/api/v2/well_known_file_download/9717
252491510662_2_1,1893,600,26.96,4537,"superior frontal gyrus, Right, lateral bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5476
252491510416_2_4,1097,600,26.96,4537,"superior frontal gyrus, Right, lateral bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/4388
252491510391_1_3,973,600,26.59,957,"parahippocampal gyrus, Right, lateral bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/3986
252491510120_1_2,228,600,29.16,866,"Cingulate gyrus, frontal part, Left, superior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/3905
252491510303_1_2,721,600,27.84,826,"middle temporal gyrus, Right, inferior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/1323
252491510804_1_4,4332,600,26.86,11262,"inferior rostral gyrus, Left",,H0351.1009,/api/v2/well_known_file_download/9433
252491510855_2_3,5022,600,21.85,14370,"vestibular nuclei, Left",,H0351.1009,/api/v2/well_known_file_download/10254
252491510839_1_4,2637,600,28.92,9509,"central grey substance of midbrain, Left",,H0351.2002,/api/v2/well_known_file_download/7021
252491510911_1_1,127694542,600,27.89,126432586,"Cingulate gyrus, parietal part, Left, superior bank of gyrus",,H0351.1012,/api/v2/well_known_file_download/127767905
252491510713_2_1,2145,600,25.81,7025,"Tail of Caudate Nucleus, Right",,H0351.2002,/api/v2/well_known_file_download/5884
252491510447_2_3,1427,600,15.66,6322,Midbrain Raphe Nuclei,,H0351.2001,/api/v2/well_known_file_download/4864
252491510104_1_2,849,600,30.86,1058,"VIIIB, Left Paravermis",,H0351.2001,/api/v2/well_known_file_download/3847
252491510131_1_3,452,600,27.84,1012,"Long Insular Gyri, Right",,H0351.2001,/api/v2/well_known_file_download/707
252491510710_2_4,2303,600,22.51,7398,"Reticular Nucleus of Thalamus, Left",,H0351.2002,/api/v2/well_known_file_download/6420
252491510854_1_4,4985,600,29.35,13825,"Diagonal Band, Vertical Division, Left",,H0351.1009,/api/v2/well_known_file_download/10260
252491510801_1_2,4282,600,26.85,11116,"Cingulate gyrus, frontal part, Left, inferior bank of gyrus",,H0351.1009,/api/v2/well_known_file_download/9498
252491510794_2_1,4315,600,23.7,11198,"postcentral gyrus, Left, bank of the central sulcus",,H0351.1009,/api/v2/well_known_file_download/9453
252491510908_1_4,127693739,600,27.47,126435095,"lingual gyrus, Left, striate",,H0351.1012,/api/v2/well_known_file_download/127770373
252491510656_2_2,1995,600,28.19,5242,"parahippocampal gyrus, Left, bank of the cos",,H0351.2002,/api/v2/well_known_file_download/5540
252491510840_1_2,5332,600,27.63,13937,"Body of Caudate Nucleus, Left",,H0351.1009,/api/v2/well_known_file_download/10303
252491510936_2_2,127693577,600,27.03,126432608,"postcentral gyrus, Left, superior lateral aspect of gyrus",,H0351.1012,/api/v2/well_known_file_download/127770451
252491511480_1_2,147737512,600,150.9,146022026,"abducens nucleus, Left",,H0351.1012,/api/v2/well_known_file_download/147740204
252491510677_2_3,2272,600,21.32,6946,"hypoglossal nucleus, Left",,H0351.2001,/api/v2/well_known_file_download/6024
252491511329_1_2,147737572,600,20.9,146021966,"spinal trigeminal nucleus, Left",,H0351.1012,/api/v2/well_known_file_download/147740086
252491510352_1_1,27,600,26.46,697,"supramarginal gyrus, Right, superior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/902
252491510803_1_4,4328,600,25.89,11288,"precuneus, Left,  superior lateral bank of gyrus",,H0351.1009,/api/v2/well_known_file_download/9485
252491511463_1_4,147738303,600,25.13,146507607,"cuneate nucleus, Left",,H0351.1012,/api/v2/well_known_file_download/147739515
252491510439_1_1,1330,600,28.4,4982,"inferior temporal gyrus, Left, bank of the its",,H0351.2002,/api/v2/well_known_file_download/4695
252491510608_1_1,1806,600,21.83,6969,"lateral medullary reticular group, Right",,H0351.2001,/api/v2/well_known_file_download/5351
252491510762_2_1,2489,600,26.57,8854,"inferior olivary complex, Right",,H0351.2002,/api/v2/well_known_file_download/6567
252491510615_2_3,1659,600,29.57,4650,"gyrus rectus, Right",,H0351.2002,/api/v2/well_known_file_download/5152
252491510323_2_3,540,600,26.73,178,"superior frontal gyrus, Left, medial bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/3747
252491510786_1_2,146518437,600,26.45,127687825,"Lateral Mammillary Nucleus, Left",,H0351.1012,/api/v2/well_known_file_download/146535077
252491510314_2_1,954,600,26.7,1297,"middle temporal gyrus, Left, superior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/1394
252491510849_2_4,127695476,600,27.63,126434413,"inferior temporal gyrus, Left, lateral bank of gyrus",,H0351.1012,/api/v2/well_known_file_download/127757566
252491511327_1_1,147737195,600,199.9,139379826,"Tail of Caudate Nucleus, Left",,H0351.1012,/api/v2/well_known_file_download/147740052
252491510767_1_2,2449,600,29.66,8749,"cuneate nucleus, Left",,H0351.2002,/api/v2/well_known_file_download/6638
252491510938_2_1,127693631,600,27.57,126434527,"middle temporal gyrus, Left, inferior bank of gyrus",,H0351.1012,/api/v2/well_known_file_download/127770481
252491511328_1_3,147737507,600,27.39,146021976,"spinal trigeminal nucleus, Left",,H0351.1012,/api/v2/well_known_file_download/147740072
252491511112_1_2,127695471,600,24.83,126434561,"inferior temporal gyrus, Left, bank of mts",,H0351.1012,/api/v2/well_known_file_download/127757670
252491510701_2_4,2398,600,27.93,8424,V,,H0351.2002,/api/v2/well_known_file_download/6305
252491510866_1_4,2443,600,23.38,8941,V,,H0351.2002,/api/v2/well_known_file_download/6578
252491510131_2_3,463,600,27.82,1003,"inferior temporal gyrus, Right, lateral bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/711
252491510886_1_4,5353,600,29.74,14083,"IV, Left Paravermis",,H0351.1009,/api/v2/well_known_file_download/10319
252491510453_2_3,1417,600,25.14,6297,"pontine nuclei, Right",,H0351.2001,/api/v2/well_known_file_download/4875
252491510447_1_3,1416,600,25.14,6297,"pontine nuclei, Right",,H0351.2001,/api/v2/well_known_file_download/4865
252491510366_2_3,637,544.495,10.7,2618,"Reticular Nucleus of Thalamus, Left",,H0351.2001,/api/v2/well_known_file_download/1436
252491510844_1_2,2598,600,26.86,9734,"locus ceruleus, Left",,H0351.2002,/api/v2/well_known_file_download/6878
252491510342_1_2,708,600,27.68,769,"Cingulate gyrus, parietal part, Right, inferior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/1370
252491510091_2_2,382,600,26.64,445,"Cingulate gyrus, parietal part, Right, inferior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/1090
252491511464_2_3,147738030,600,27.97,139379729,"Dorsal Lateral Geniculate Nucleus, Left",,H0351.1012,/api/v2/well_known_file_download/147739537
252491511326_2_2,147737487,600,24.88,146021896,"nucleus subceruleus, Left",,H0351.1012,/api/v2/well_known_file_download/147740046
252491510880_1_2,5355,600,27.25,14068,"VIIIA, Left Paravermis",,H0351.1009,/api/v2/well_known_file_download/10338
252491510774_1_2,141758381,600,25.64,126432538,"Heschl's gyrus, Left",,H0351.1012,/api/v2/well_known_file_download/148183237
252491510775_2_4,141758447,600,25.64,126432538,"Heschl's gyrus, Left",,H0351.1012,/api/v2/well_known_file_download/148183265
252491511467_1_2,147737980,600,24.27,139379892,"Subthalamic Nucleus, Left",,H0351.1012,/api/v2/well_known_file_download/147739575
252491510868_2_2,2539,600,23.08,9039,"spinal trigeminal nucleus, Left",,H0351.2002,/api/v2/well_known_file_download/6860
252491510436_1_4,1348,600,29.53,5081,"Cingulate gyrus, frontal part, Right, superior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/4655
252491511113_2_1,127696202,600,29.29,126435796,"VIIIB, Left Lateral Hemisphere",,H0351.1012,/api/v2/well_known_file_download/127768253
252491510697_2_2,2220,600,26,7310,"Basolateral Nucleus, Right",,H0351.2002,/api/v2/well_known_file_download/5994
252491510894_2_2,127695599,600,28.17,126435061,"angular gyrus, Left, superior bank of gyrus",,H0351.1012,/api/v2/well_known_file_download/127757642
252491510304_1_2,744,600,26.65,780,"Putamen, Left",,H0351.2001,/api/v2/well_known_file_download/1331
252491510132_1_3,407,600,28.19,977,"Putamen, Left",,H0351.2001,/api/v2/well_known_file_download/715
252491511070_2_4,5376,600,24.01,11044,"Inferior frontal gyrus, triangular part, Left",,H0351.1009,/api/v2/well_known_file_download/10449
252491510357_1_3,667,600,26.86,2451,"Tail of Caudate Nucleus, Left",,H0351.2001,/api/v2/well_known_file_download/3455
252491511464_2_1,147738223,600,28.24,146507587,"gigantocellular group, Left",,H0351.1012,/api/v2/well_known_file_download/147739533
252491510905_2_1,2626,600,102.5,9477,"ventral tegmental area, Left",,H0351.2002,/api/v2/well_known_file_download/7019
252491510837_1_1,2625,600,102.5,9477,"ventral tegmental area, Left",,H0351.2002,/api/v2/well_known_file_download/7009
252491511116_1_2,127696049,600,27.32,126435884,"fusiform gyrus, Left, lateral bank of gyrus",,H0351.1012,/api/v2/well_known_file_download/127768295
252491511467_2_4,147738321,600,29.82,146021998,"vestibular nuclei, Left",,H0351.1012,/api/v2/well_known_file_download/147739587
252491510451_2_4,1359,600,31.13,5673,"Claustrum, Right",,H0351.2002,/api/v2/well_known_file_download/4608
252491510427_1_1,980,600,27.11,869,"Long Insular Gyri, Right",,H0351.2001,/api/v2/well_known_file_download/4039
252491510126_1_2,218,600,26.26,931,"inferior temporal gyrus, Right, bank of mts",,H0351.2001,/api/v2/well_known_file_download/3953
252491510857_2_2,5041,600,27.77,14673,"spinal trigeminal nucleus, Left",,H0351.1009,/api/v2/well_known_file_download/10252
252491510471_2_2,1876,600,21.53,6635,"Pontine Reticular Formation, Right",,H0351.2001,/api/v2/well_known_file_download/5393
252491510865_2_3,2492,600,24.92,8878,"lateral medullary reticular group, Left",,H0351.2002,/api/v2/well_known_file_download/6593
252491510925_1_4,127693685,600,27.46,126434329,"middle temporal gyrus, Left, inferior bank of gyrus",,H0351.1012,/api/v2/well_known_file_download/127770383
252491510323_1_4,535,600,28.21,235,"lingual gyrus, Left, striate",,H0351.2001,/api/v2/well_known_file_download/3744
252491510327_1_1,507,600,25.98,225,"superior frontal gyrus, Left, medial bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/3773
252491510314_1_3,965,600,27.56,1243,"planum temporale, Left",,H0351.2001,/api/v2/well_known_file_download/1392
252491510089_2_3,392,600,25.96,428,"postcentral gyrus, Right, bank of the central sulcus",,H0351.2001,/api/v2/well_known_file_download/1075
252491510136_1_4,440,600,25.96,428,"postcentral gyrus, Right, bank of the central sulcus",,H0351.2001,/api/v2/well_known_file_download/748
252491510446_1_2,1406,583.035,21.71,6145,"nucleus subceruleus, Left",,H0351.2001,/api/v2/well_known_file_download/4878
252491510897_1_2,127694422,600,26.18,126431753,"frontal operculum, Left",,H0351.1012,/api/v2/well_known_file_download/127767805
252491510326_1_3,501,600,27.69,154,"anterior orbital gyrus, Right",,H0351.2001,/api/v2/well_known_file_download/3767
252491510803_2_2,4321,600,26.62,11272,"fusiform gyrus, Left, bank of the its",,H0351.1009,/api/v2/well_known_file_download/9508
252491510901_2_4,127693565,600,26.79,126432507,"inferior temporal gyrus, Left, bank of mts",,H0351.1012,/api/v2/well_known_file_download/127770322
252491510129_1_3,303,600,24.7,2249,"Claustrum, Left",,H0351.2001,/api/v2/well_known_file_download/3978
252491510360_1_2,660,600,31.7,2443,"subiculum, Left",,H0351.2001,/api/v2/well_known_file_download/3478
252491510762_1_1,2513,600,21.89,8840,raphe nuclei of medulla,,H0351.2002,/api/v2/well_known_file_download/6616
252491510303_1_4,748,600,28.37,770,"Heschl's gyrus, Right",,H0351.2001,/api/v2/well_known_file_download/1325
252491510880_2_2,5331,600,27.45,13929,corpus callosum,,H0351.1009,/api/v2/well_known_file_download/10297
252491510103_1_2,850,600,23.07,1145,"IX, Left Paravermis",,H0351.2001,/api/v2/well_known_file_download/3839
252491510939_1_3,4887,600,28.63,13657,"Basomedial nucleus, Left",,H0351.1009,/api/v2/well_known_file_download/10147
252491510756_2_4,2325,600,28.65,5099,"postcentral gyrus, Right, superior lateral aspect of gyrus",,H0351.2002,/api/v2/well_known_file_download/6252
252491510100_2_3,839,600,22.9,1147,"VIIB, Right Paravermis",,H0351.2001,/api/v2/well_known_file_download/3820
252491510673_2_3,2106,600,27.97,7129,"Body of Caudate Nucleus, Right",,H0351.2002,/api/v2/well_known_file_download/5840
252491510807_2_4,2652,600,28.48,9534,"cuneiform nucleus, Right",,H0351.2002,/api/v2/well_known_file_download/7004
252491510307_2_1,879,600,26.58,1194,"globus pallidus, internal segment, Left",,H0351.2001,/api/v2/well_known_file_download/3898
252491510079_2_3,194,600,31.44,331,"medial orbital gyrus, Right",,H0351.2001,/api/v2/well_known_file_download/920
252491510630_1_3,1742,600,27.57,4922,"Putamen, Right",,H0351.2002,/api/v2/well_known_file_download/5195
252491511459_2_4,147738248,600,180,146507667,"central medullary reticular group, Left",,H0351.1012,/api/v2/well_known_file_download/147739459
252491510139_2_4,758,600,27.82,825,"superior frontal gyrus, Left, lateral bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/1321
252491510468_2_2,1534,600,29.3,5159,"superior occipital gyrus, Left, superior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/4787
252491510680_2_3,2002,600,28.9,4628,"Cingulate gyrus, frontal part, Right, superior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5834
252491510682_1_4,2028,600,28.2,5810,"globus pallidus, internal segment, Right",,H0351.2002,/api/v2/well_known_file_download/6098
252491510849_2_3,127695252,600,26.04,126426427,"posterior orbital gyrus, Left",,H0351.1012,/api/v2/well_known_file_download/127757564
252491510851_2_3,127695232,600,27.87,126426441,"superior rostral gyrus, Left",,H0351.1012,/api/v2/well_known_file_download/127757596
252491510640_2_2,1730,600,28.9,4844,"Cingulate gyrus, retrosplenial part, Right, inferior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5225
252491510133_1_3,455,600,28.02,980,"middle temporal gyrus, Left, inferior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/723
252491510654_2_2,1989,600,25.88,5218,"fusiform gyrus, Left, lateral bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5499
252491510438_1_1,1352,600,31.4,5018,corpus callosum,,H0351.2002,/api/v2/well_known_file_download/4696
252491510063_2_1,191,600,30.26,363,"Inferior frontal gyrus, triangular part, Left",,H0351.2001,/api/v2/well_known_file_download/910
252491510333_2_2,22,600,26.53,690,"Cingulate gyrus, parietal part, Right, superior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/851
252491510417_2_3,1089,600,27.79,4514,"superior frontal gyrus, Right, medial bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/4401
252491510899_2_2,127694517,600,25.73,126432654,"fusiform gyrus, Left, lateral bank of gyrus",,H0351.1012,/api/v2/well_known_file_download/127767845
252491510391_2_1,975,600,19.55,940,"planum polare, Right",,H0351.2001,/api/v2/well_known_file_download/3988
252491511112_2_4,127695594,600,26.97,126435045,"supraparietal lobule, Left, inferior bank of gyrus",,H0351.1012,/api/v2/well_known_file_download/127757682
252491510368_1_4,771,324.453,19.36,2661,"ventral tegmental area, Right",,H0351.2001,/api/v2/well_known_file_download/1449
252491510646_1_1,1564,600,26.47,4573,"parolfactory gyri, Left",,H0351.2002,/api/v2/well_known_file_download/5038
252491510702_1_1,2421,600,25.65,8409,"VIIB, Right Paravermis",,H0351.2002,/api/v2/well_known_file_download/6343
252491510706_1_2,2422,600,25.65,8409,"VIIB, Right Paravermis",,H0351.2002,/api/v2/well_known_file_download/6261
252491510628_2_4,1739,600,28.79,4945,"Putamen, Left",,H0351.2002,/api/v2/well_known_file_download/5181
252491510437_2_2,1333,600,28.76,5025,"precentral gyrus, Right, bank of the central sulcus",,H0351.2002,/api/v2/well_known_file_download/4670
252491510696_2_4,2197,600,29.1,5811,"Dentate gyrus, Right",,H0351.2002,/api/v2/well_known_file_download/5959
252491510685_1_4,2041,600,29.1,5811,"Dentate gyrus, Right",,H0351.2002,/api/v2/well_known_file_download/6131
252491510832_2_2,4410,600,25.12,11172,"lingual gyrus, Left, striate",,H0351.1009,/api/v2/well_known_file_download/9646
252491510765_2_1,2454,600,201,8789,"gracile nucleus, Right",,H0351.2002,/api/v2/well_known_file_download/6596
252491510615_1_4,1620,600,25.75,4540,"superior frontal gyrus, Left, medial bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5141
252491510417_1_4,1104,600,25.75,4540,"superior frontal gyrus, Left, medial bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/4364
252491510638_1_4,1652,600,30.75,4644,"subcollosal gyrus, Right",,H0351.2002,/api/v2/well_known_file_download/5115
252491510351_2_3,35,600,26.81,698,"Cingulate gyrus, parietal part, Left, superior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/900
252491510714_2_4,2232,600,21.86,7311,"Lateral hypothalamic area, Right",,H0351.2002,/api/v2/well_known_file_download/5931
252491510760_2_1,2314,600,29.73,6609,"spinal trigeminal nucleus, Left",,H0351.2001,/api/v2/well_known_file_download/6226
252491510345_1_2,73,600,26.89,643,"inferior temporal gyrus, Right, bank of the its",,H0351.2001,/api/v2/well_known_file_download/1002
252491511331_2_1,147737542,600,28.89,146022046,"motor nucleus of trigeminal nerve, Left",,H0351.1012,/api/v2/well_known_file_download/147740114
252491511478_1_3,147737537,600,28.89,146022046,"motor nucleus of trigeminal nerve, Left",,H0351.1012,/api/v2/well_known_file_download/147740174
252491510102_1_2,856,600,28.37,1233,"Putamen, Left",,H0351.2001,/api/v2/well_known_file_download/3831
252491510316_1_2,924,600,27.19,1029,"cingulum bundle, Left",,H0351.2001,/api/v2/well_known_file_download/1406
252491510853_2_4,4968,600,25.82,13721,"Dentate gyrus, Left",,H0351.1009,/api/v2/well_known_file_download/10195
252491511068_1_1,5456,600,28.86,14116,"IX, Left Paravermis",,H0351.1009,/api/v2/well_known_file_download/10398
252491511063_1_1,5455,600,28.86,14116,"IX, Left Paravermis",,H0351.1009,/api/v2/well_known_file_download/10386
252491510893_1_1,127695279,600,29.65,126426537,"superior frontal gyrus, Left, medial bank of gyrus",,H0351.1012,/api/v2/well_known_file_download/127757616
252491510424_1_2,775,600,21.77,2825,"Rostral Group of intralaminar Nuclei, Right",,H0351.2001,/api/v2/well_known_file_download/3555
252491510371_1_4,772,600,27.65,2593,"Anterior Group of Nuclei, Left",,H0351.2001,/api/v2/well_known_file_download/1473
252491510101_2_3,882,600,26.68,1169,"middle temporal gyrus, Right, inferior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/3828
252491510317_1_2,919,600,27.19,818,"middle temporal gyrus, Right, inferior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/1414
252491510315_2_3,920,600,27.19,818,"middle temporal gyrus, Right, inferior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/1403
252491510828_1_4,4384,600,31.69,11127,"inferior occipital gyrus, Left, inferior bank of gyrus",,H0351.1009,/api/v2/well_known_file_download/9578
252491510880_1_1,5302,600,31.69,11127,"inferior occipital gyrus, Left, inferior bank of gyrus",,H0351.1009,/api/v2/well_known_file_download/10292
252491510461_1_2,1514,600,27.86,5156,"transverse gyri, Right",,H0351.2002,/api/v2/well_known_file_download/4780
252491510953_2_1,127696089,600,31.62,126435806,"Putamen, Left",,H0351.1012,/api/v2/well_known_file_download/127768237
252491510892_1_2,127695451,600,26.08,126434375,"middle temporal gyrus, Left, superior bank of gyrus",,H0351.1012,/api/v2/well_known_file_download/127757602
252491510854_1_1,5013,600,27.72,14329,"pontine nuclei, Left",,H0351.1009,/api/v2/well_known_file_download/10257
252491510102_2_3,853,600,27.84,1113,"Crus II, Left Paravermis",,H0351.2001,/api/v2/well_known_file_download/3836
252491510095_1_3,351,600,25.61,403,"posterior orbital gyrus, Right",,H0351.2001,/api/v2/well_known_file_download/1111
252491510446_2_3,1440,600,30.98,6202,"trochlear nucleus, Right",,H0351.2001,/api/v2/well_known_file_download/4886
252491510120_2_2,235,600,27.09,890,"precentral gyrus, Left, superior lateral aspect of gyrus",,H0351.2001,/api/v2/well_known_file_download/3909
252491510704_1_4,2371,600,27.1,8407,"IV, Left Paravermis",,H0351.2002,/api/v2/well_known_file_download/6319
252491510757_2_3,2340,600,21.89,8293,"Fastigial Nucleus, Left",,H0351.2002,/api/v2/well_known_file_download/6243
252491510904_1_1,127693667,600,26.77,126434326,"middle frontal gyrus, Left, superior bank of gyrus",,H0351.1012,/api/v2/well_known_file_download/127770356
252491510629_1_2,1750,600,29.85,4961,"Putamen, Right",,H0351.2002,/api/v2/well_known_file_download/5231
252491510639_1_2,1751,600,29.85,4961,"Putamen, Right",,H0351.2002,/api/v2/well_known_file_download/5234
252491510899_1_4,127694472,600,26.24,126432166,"superior frontal gyrus, Left, medial bank of gyrus",,H0351.1012,/api/v2/well_known_file_download/127767841
252491510868_2_3,2543,600,23.1,9071,"abducens nucleus, Right",,H0351.2002,/api/v2/well_known_file_download/6899
252491510861_1_4,2480,600,86.2,8877,central glial substance,,H0351.2002,/api/v2/well_known_file_download/6569
252491510089_2_4,327,600,23.45,401,"precuneus, Left, inferior lateral bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/1076
252491510082_1_4,150,600,31.03,361,"precuneus, Left, inferior lateral bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/941
252491510807_1_3,2668,600,28.61,9575,"Superior Colliculus, Left",,H0351.2002,/api/v2/well_known_file_download/6998
252491510101_1_2,834,600,21.12,1108,"IX, Right Paravermis",,H0351.2001,/api/v2/well_known_file_download/3823
252491510132_2_3,477,600,26.73,1017,"precentral gyrus, Right, bank of the precentral sulcus",,H0351.2001,/api/v2/well_known_file_download/719
252491510905_2_3,2661,600,26.22,9511,"nucleus of Darkschewitsch, Left",,H0351.2002,/api/v2/well_known_file_download/7044
252491510844_1_1,2541,600,27.21,9055,"vestibular nuclei, Left",,H0351.2002,/api/v2/well_known_file_download/6879
252491510661_1_4,1959,600,25.68,5209,"planum polare, Right",,H0351.2002,/api/v2/well_known_file_download/5546
252491510643_2_1,2428,600,24.39,8426,"Crus I, Right Lateral Hemisphere",,H0351.2002,/api/v2/well_known_file_download/6318
252491510362_1_3,563,600,28.01,2523,"Lateral group of Nuclei, Right, Dorsal Division",,H0351.2001,/api/v2/well_known_file_download/3495
252491510768_1_4,2464,600,20.01,8774,"cuneate nucleus, Right",,H0351.2002,/api/v2/well_known_file_download/6600
252491510906_1_3,2674,600,24.7,9536,"Substantia Nigra, pars reticulata, Left",,H0351.2002,/api/v2/well_known_file_download/7000
252491510793_2_4,146518493,600,24.22,127687669,"Putamen, Left",,H0351.1012,/api/v2/well_known_file_download/146535201
252491510358_1_4,608,600,24.11,2509,"Posterior Hypothalamic Area, Left",,H0351.2001,/api/v2/well_known_file_download/3464
252491510459_2_4,1504,600,26.19,5177,"fusiform gyrus, Left, bank of the its",,H0351.2002,/api/v2/well_known_file_download/4775
252491510439_2_1,1328,600,25.08,4966,"occipito-temporal gyrus, Right, superior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/4674
252491510100_1_1,867,600,26.51,1195,"frontal pole, Left, superior aspect",,H0351.2001,/api/v2/well_known_file_download/3814
252491510435_2_1,1305,600,27.93,4918,"angular gyrus, Left, inferior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/4667
252491510639_1_1,1726,600,29.66,4860,"middle temporal gyrus, Left, superior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5207
252491510367_1_2,640,595.608,16.05,2594,"Paraventricular Nuclei, Right of Thalamus, Right",,H0351.2001,/api/v2/well_known_file_download/1439
252491510326_2_1,531,600,30.99,290,"inferior temporal gyrus, Right, bank of mts",,H0351.2001,/api/v2/well_known_file_download/3769
252491510332_1_2,149,600,30.99,290,"inferior temporal gyrus, Right, bank of mts",,H0351.2001,/api/v2/well_known_file_download/946
252491510705_1_2,2355,600,28.9,5166,"occipito-temporal gyrus, Right, superior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/6346
252491510325_2_2,511,600,28.32,275,"occipito-temporal gyrus, Left, superior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/3762
252491510323_2_2,510,600,28.32,275,"occipito-temporal gyrus, Left, superior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/3746
